Name,AU MELBOURNE/WESTPAC CONSUMER SENTIMENT INDEX (JAN EFFECT) SADJ,AU MELBOURNE/WESTPAC CONSUMER SENTIMENT INDEX NADJ,AU NAB BUSINESS SURVEY: CAPACITY UTILISATION SADJ,AU OFFICIAL RESERVE ASSETS CURN,AU AUSTRALIAN $ TO US $ (MTH.AVG.) NADJ,AU AUSTRALIAN $ EFFECTIVE EXCHANGE RATE INDEX NADJ,"AU JP MORGAN TRADE WEIGHTED INDEX AUSTRALIA,REAL,BROAD BASI NADJ",AU MONEY SUPPLY - M1 CURA,AU MONEY SUPPLY - M3 (SEE AUM3...OB) CURA,AU MONEY SUPPLY - BROAD MONEY (SEE AUM6...OB) CURA,AU RBA CASH RATE TARGET NADJ,AU INTERBANK RATE - 3 MONTH (EP) NADJ,AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP) NADJ,AU S&P/ASX 200 (METHODOLOGY BREAK MARCH 2000) NADJ,"AU FIN.INTERMEDIARIES: LENDING-LOAN & ADV,PRIV.SECTOR,BANKS CURN",AU FIN. INTERMEDIARIES: NARROW CREDIT EXCL SECURITISATIONS CURA,AU INFLATION RATE (DS CALCULATED QUARTERLY) NADJ,AU EMPLOYED PERSONS (LFS) VOLA,AU UNEMPLOYMENT LEVEL VOLA,AU UNEMPLOYMENT RATE (LABOUR FORCE SURVEY ESTIMATE) SADJ,AU UNEMPLOYMENT RATE (LABOUR FORCE SURVEY ESTIMATE) NADJ,AU JOB ADVERTISEMENTS VOLA,AU PARTICIPATION RATE (SEASONALLY ADJUSTED) SADJ,AU RETAIL SALES CURA,AU RETAIL SALES (TREND) TRND,AU HOUSING FINANCE: ALL LENDERS-OWNER OCCUPIED HOUSING(NUMBER),AU HOUSE FIN: ALL LENDERS - INVESTMENT HOUSING CURA,AU NEW MOTOR VEHICLES SALES (SA) VOLA,AU BUILDING APPROVALS: NEW HOUSES CURN,AU BUILDING APPROVALS: NEW DWELLING UNITS VOLA,AU NEW BANKRUPTCIES VOLN,AU COMMONWEALTH CASH BALANCE CURN,AU BALANCE OF TRADE IN GOODS & SERVICES (BOP BASIS) CURN,AU EXPORTS OF GOODS & SERVICES (BOP BASIS) CURA,AU IMPORTS OF GOODS & SERVICES (BOP BASIS) CURA,AU MERCHANDISE EXPORTS FOB CURN,AU MERCHANDISE IMPORTS FOB CURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Name,AU POPULATION (MID-YEAR) VOLN
1/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,8.42
2/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,8.64
3/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,8.85
4/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,8.99
5/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,9.2
6/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,9.43
7/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,9.64
8/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,9.84
9/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,10.06
10/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,10.28
11/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,10.55
12/15/51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,10.74
