Name,BD BUSINESS EXPECTATIONS (PAN GERMANY) VOLA,BD COMPOSITE LEADING INDICATOR - TREND RESTORED SADJ,BD CONSUMER CONFIDENCE INDICATOR - GERMANY SADJ,"BD TRADE & IND: BUS CLIMATE, INDEX VOLA",BD BUSINESS EXPECTATIONS (PAN GERMANY) (%YOY) SADJ,BD GERMAN MARKS TO US$ (MTH.AVG.) NADJ,BD US $ TO 1 EURO (DEUTSCHEMARK DERIVED HISTORY PRIOR 1999) NADJ,EM BOE EURO TRADE WEIGHTED INDEX NADJ,EM EFFECTIVE EXCH.RATE: BROAD GROUP(38 PARTNERS) - REAL CPI NADJ,BD MONEY SUPPLY M0 CURN,BD MONEY SUPPLY-GERMAN CONTRIBUTION TO EURO M1(PAN BD M0790),BD MONEY SUPPLY- M2 (CONTRIBUTION TO EURO BASIS FROM M0195) CURA,"BD MNY.SUPL-M3(CONTRIB TO EUR BASIS FM.M0195),FM M06 2010 EXC",BD DISCOUNT RATE / SHORT TERM EURO REPO RATE NADJ,BD FIBOR - 3 MONTH (MTH.AVG.) NADJ,BD BANK PRIME LENDING RATE / ECB MARGINAL LENDING FACILITY NADJ,BD LONG TERM GOVERNMENT BOND YIELD - 9-10 YEARS NADJ,"BD DAX SHARE PRICE INDEX, EP NADJ",BD LENDING TO ENTERPRISES & INDIVIDUALS CURN,BD CPI (CAL ADJ) SADJ,BD CPI: TOTAL NADJ,BD INFLATION NADJ,BD HICP: TOTAL NADJ,BD EXPORT PRICE INDEX (CAL ADJ) SADJ,BD IMPORT PRICE INDEX (CAL ADJ) SADJ,BD TERMS OF TRADE (ON THE BASIS OF PRICE INDICES) (CAL ADJ) SADJ,BD EXPORT PRICE INDEX NADJ,BD IMPORT PRICE INDEX NADJ,"BD PPI: INDL. PRODUCTS, TOTAL, SOLD ON THE DOMESTIC MARKET NADJ",BD CPI (%YOY) NADJ,"BD EMPLOYED PERSONS (RESIDENCE CONCEPT, ILO) VOLA",BD UNEMPLOYMENT LEVEL (PAN BD FROM SEPT 1990) VOLN,BD UNEMPLOYMENT REGISTERED (PAN BD FROM JAN 1992) (CAL ADJ) VOLA,BD UNEMPLOYMENT: % CIVILIAN LABOUR(% DEPENDENT LABOUR TO DEC 196,BD UNEMPLOYMENT: % CIVILIAN LABOUR(% DEPENDENT LABOUR TO DEC 196,"EG UNEMPLOYMENT RATE, REGISTERED (CAL ADJ) SADJ","WG UNEMPLOYMENT RATE, REGISTERED (CAL ADJ) SADJ",BD UNEMPLOYMENT RATIO AS % OF DEPENDENT LABOUR FORCE(DISC.) SADJ,BD VACANCIES (DEC 1999 ONWARDS NEW DEFINITION) VOLA,BD VACANCIES (PAN BD FROM M0790) VOLN,"BD WAGE & SALARY,OVERALL ECONOMY-ON A MTHLY BASIS(PAN BD M0191)",BD WAGE & SALARY: ON HRLY. BASIS - PRDG. SECTOR (BDHRWAGEF) NADJ,BD EMPLOYED PERSONS (RESIDENCE CONCEPT) ((%YOY) VOLA,"BD WAGE & SALARY, OVERALL ECONOMY - ON A MTHLY BASIS (%YOY) NADJ","BD WAGE&SALARY, HRLY.BASIS - PRDG. SECTOR (BDHRWAGEF)(%YOY) NADJ",BD RETAIL SALES EXCL CARS (CAL ADJ) X-12-ARIMA SADJ,BD RETAIL SALES EXCL CARS (CAL ADJ) X-12-ARIMA VOLA,BD RETAIL SALES EXCLUDING CARS INDEX VOLN,BD NEW PASSENGER CAR REGISTRATIONS VOLN,"BD PRODUCTIVITY: OUTPUT PER MAN-HOUR WORKED,M&Q&MFG SCT(B+C)","BD WAGES & SALARIES: PER UNIT OF OUTPUT, M&Q&MFG SCT (B+C) VOLA",BD INDL PROD: INDUSTRY INCL CNSTR (CAL ADJ) VOLA,BD INDL PROD: MANUFACTURING (CAL ADJ) VOLA,BD NEW ORDERS RECD: CNSTR - RESL CNSTR VOLA,BD MANUFACTURING ORDERS SADJ,BD MANUFACTURING ORDERS (CAL ADJ). VOLA,BD INSOLVENCIES - BUSINESS ENTERPRISES VOLN,BD EUROPACE HEDONIC HOUSE PRICE COMPOSITE INDEX NADJ,BD BOP CAPITAL & FINANCIAL ACCOUNT BALANCE (PAN BD M0790) CURN,BD CURRENT ACCOUNT BALANCE CURN,BD BOP: EXPORTS FOB CURA,BD BOP: IMPORTS CIF CURA,BD BOP: VISIBLE TRADE BALANCE CURA,BD EXPORTS OF GOODS (FOB) CURA,BD IMPORTS OF GOODS (CIF) CURA,BD VISIBLE TRADE BALANCE CURA,BD INTERNATIONAL RESERVES CURN,BD TOTAL EXPORTS OF GOODS CURN,BD TOTAL IMPORTS OF GOODS CURN,BD TERMS OF TRADE (PAN BD FROM 1991) NADJ,BD EXPORTS FOB (PAN BD M0790) (%YOY) CURA,BD IMPORTS CIF (PAN BD M0790) (%YOY) CURA
2/15/71,#DIV/0!,0.002296605,#DIV/0!,#VALUE!,#DIV/0!,-0.001787187,0.001772156,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.010416667,0.011572498,0,-0.004,#DIV/0!,0,0.042195741,0.007840985,0.006006006,0.005970149,-0.00619209,#VALUE!,0.002262443,0,0.001996008,0.002252252,0.006741573,0.002564103,-0.00619209,#DIV/0!,-0.109787505,#VALUE!,-0.090909091,-0.166666667,#DIV/0!,-0.166666667,#DIV/0!,-0.01920439,0.076201485,0.007455732,0.005434783,#DIV/0!,0.035584943,-0.002965745,#DIV/0!,#DIV/0!,#DIV/0!,0.295678964,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.03926097,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.019748654,0.040733198,-0.151515152,#DIV/0!,#DIV/0!,#DIV/0!,-0.004459261,0.065820572,2.727709974
3/15/71,#DIV/0!,0.001798605,#DIV/0!,#DIV/0!,#DIV/0!,5.50888E-05,-5.19754E-05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.018327606,0.014131898,0,-0.001338688,#DIV/0!,0.026007802,0.009372071,0.008814914,0.005970149,0.002967359,0.146406452,#VALUE!,0,0.006802721,-0.006972112,0.002247191,0.006696429,0.00511509,0.146406452,#DIV/0!,-0.18952083,#VALUE!,-0.2,0.2,#DIV/0!,0.2,#DIV/0!,-0.026573427,0.048370763,0.005087882,0,#DIV/0!,0.015704962,0,#DIV/0!,#DIV/0!,#DIV/0!,0.577880917,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.019230769,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.026408451,-0.009784736,0.375,#DIV/0!,#DIV/0!,#DIV/0!,-0.004419636,-0.333790458,-0.511764269
4/15/71,#DIV/0!,0.001241765,#DIV/0!,#DIV/0!,#DIV/0!,0.00085383,-0.000857639,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.022497188,0.01725282,-0.166666667,-0.147453083,#DIV/0!,0,-0.064252553,0.006021517,0.005934718,0.00887574,-0.009230734,#VALUE!,0.002257336,0.006756757,-0.004012036,0.002242152,0.00443459,0.002544529,-0.009230734,#DIV/0!,-0.223352319,#VALUE!,-0.25,0.166666667,#DIV/0!,0.166666667,#DIV/0!,-0.027298851,0.005446329,0.004601933,0.005405405,#DIV/0!,-0.04689523,-0.08087843,#DIV/0!,#DIV/0!,#DIV/0!,-0.096331395,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.007075472,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.017152659,0.019762846,-0.272727273,#DIV/0!,#DIV/0!,#DIV/0!,-0.002182759,0.365655437,0.47727068
5/15/71,#DIV/0!,0.000867937,#DIV/0!,#DIV/0!,#DIV/0!,-0.008806208,0.008899607,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.01980198,0.015655577,0,-0.031446541,#DIV/0!,0.012674271,0.023218893,0.007581602,0.002949853,0,0,#VALUE!,0,0,0,-0.002237136,-0.008830022,0,0,#DIV/0!,-0.108920153,#VALUE!,-0.166666667,0,#DIV/0!,0,#DIV/0!,-0.019202363,0.02410396,0.019239579,0.02688172,#DIV/0!,0.042363856,0.030687539,#DIV/0!,#DIV/0!,#DIV/0!,-0.069317673,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.011709602,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.019197208,-0.03875969,0.178571429,#DIV/0!,#DIV/0!,#DIV/0!,0.006651621,-0.637365226,-0.632106694
6/15/71,#DIV/0!,0.000567852,#DIV/0!,#DIV/0!,#DIV/0!,-0.025098562,0.025750622,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.008629989,-0.002569043,0,0.103896104,#DIV/0!,0.025031289,-0.018231187,0.018186539,0.002941176,0.005865103,0.059240796,#VALUE!,0.002252252,0.002237136,0.001007049,0,-0.006681514,0,0.059240796,#DIV/0!,-0.054118553,#VALUE!,0,0,#DIV/0!,0,#DIV/0!,-0.028614458,0.009210951,0.002247191,0.005235602,#DIV/0!,-0.002689947,-0.008496676,#DIV/0!,#DIV/0!,#DIV/0!,-0.008782156,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.021327014,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.055160142,0.052419355,0.090909091,#DIV/0!,#DIV/0!,#DIV/0!,0.006726453,1.20001659,1.45333589
7/15/71,#DIV/0!,0.000371754,#DIV/0!,#DIV/0!,#DIV/0!,-0.008543601,0.0086212,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.013057671,0.01159047,0,0.126470588,#DIV/0!,0.012210012,0.034571316,0.007904438,0.005865103,-0.008746356,0.07197658,#VALUE!,0.002247191,-0.004464286,0.007042254,0,-0.00896861,0.005076142,0.07197658,#DIV/0!,0.05031186,#VALUE!,0,0.142857143,#DIV/0!,0.142857143,#DIV/0!,-0.020155039,-0.024554846,0.006726457,0.005208333,#DIV/0!,-0.028303788,-0.081192693,#DIV/0!,#DIV/0!,#DIV/0!,-0.042231284,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.002320186,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.02529511,0.038314176,-0.083333333,#DIV/0!,#DIV/0!,#DIV/0!,0.00904977,-0.124269856,0.141301764
8/15/71,#DIV/0!,0.000499152,#DIV/0!,#DIV/0!,#DIV/0!,-0.016286551,0.016545004,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.005092298,0,-0.01305483,#DIV/0!,0,-0.045636815,0.0123704,0.002915452,0.008823529,-0.009230667,#VALUE!,0.004484305,-0.006726457,0.010989011,0.004484305,-0.009049774,0,-0.009230667,#DIV/0!,0.027318132,#VALUE!,0.2,0,#DIV/0!,0,#DIV/0!,-0.014240506,-0.024369198,0,0,#DIV/0!,-0.02078609,0,#DIV/0!,#DIV/0!,#DIV/0!,-0.432949642,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.041666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.024671053,-0.057195572,0.242424242,#DIV/0!,#DIV/0!,#DIV/0!,0.013657681,0.028304011,-0.505377829
9/15/71,#DIV/0!,0.001397808,#DIV/0!,#DIV/0!,#DIV/0!,-0.019271761,0.019648185,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.011815252,0.010766308,0,0.003968254,#DIV/0!,-0.024125452,-0.039415766,0.016103141,0.005813953,0,0.05881344,#VALUE!,0,-0.006772009,0.006916996,-0.002232143,-0.00913242,0,0.05881344,#DIV/0!,0.006205643,#VALUE!,0,0,#DIV/0!,0,#DIV/0!,-0.025682183,-0.068804619,0.002672606,0,#DIV/0!,0.018518509,-0.002777777,#DIV/0!,#DIV/0!,#DIV/0!,0.413645786,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.016908213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.008431703,0,0.06097561,#DIV/0!,#DIV/0!,#DIV/0!,0.006963877,0.211423207,-0.151972616
10/15/71,#DIV/0!,0.002848778,#DIV/0!,#DIV/0!,#DIV/0!,-0.009855003,0.009963645,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.011677282,0.008145363,-0.1,0.027667984,#DIV/0!,-0.012360939,-0.080191627,0.011846356,0.002890173,0.008746356,0.046173577,#VALUE!,0,-0.009090909,0.008832188,-0.002237136,-0.006912442,0,0.046173577,#DIV/0!,0.159268093,#VALUE!,0,0,#DIV/0!,0,#DIV/0!,-0.037891269,-0.116692619,0.002221235,0.005181347,#DIV/0!,-0.302336158,-0.477764202,#DIV/0!,#DIV/0!,#DIV/0!,0.070069086,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.004750594,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.025083612,0.009784736,-0.24137931,#DIV/0!,#DIV/0!,#DIV/0!,0.004707842,-0.427567727,0.34766551
11/15/71,#DIV/0!,0.004490821,#DIV/0!,#DIV/0!,#DIV/0!,0.001653837,-0.001649326,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.003147954,0.006836544,0,-0.129487179,#DIV/0!,-0.012515645,0.013360507,0.010727218,0.002881844,0.005780347,-0.058662562,#VALUE!,0.002232143,-0.004587156,0.006809339,0,0,0,-0.058662562,#DIV/0!,0.222672255,#VALUE!,0.333333333,0.125,#DIV/0!,0.125,#DIV/0!,-0.030821918,-0.136083538,0.002216312,0,#DIV/0!,-0.111304096,-0.232630058,#DIV/0!,#DIV/0!,#DIV/0!,-0.197434241,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.007159905,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.017152659,-0.019379845,0,#DIV/0!,#DIV/0!,#DIV/0!,0,-0.285715443,-0.636718707
