Date,US ALL EMPS - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US TOTAL CIVILIAN EMPLOYMENT VOLA,US UNEMPLOYED (16 YRS & OVER) VOLA,US UNEMPLOYMENT RATE SADJ,US JOB OPENINGS: TOTAL NONFARM (LEVEL) VOLN,US AHE: PROD EMPS - TOTAL PRIVATE CURA,US AHE: PROD EMPS - MANUFACTURING CURN,US CHALLENGER JOB-CUT ANNOUNCEMENTS VOLN,US CONSUMER CREDIT OUTSTANDING CURA,US CONSUMER CONFIDENCE INDEX SADJ,"US RETAIL SALES & FOOD SERVICES, TOTAL CURA",US POPULATION (ESTIMATES USED IN TIOL ACCOUNTS) VOLN,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE DJ,US NEW PASSENGER CARS - TOTAL REGISTRATIONS VOLN,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: TOTAL (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: DOM. (AR) VOLA,US AUTODATA RETAIL SALES OF NEW CARS: DOMESTIC (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT TRUCKS: DOMESTIC (AR) VOLA,US SALES OF NEW ONE FAMILY HOUSES (AR) VOLA,US PENDING HOME SALES INDEX (AR) SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US CAPACITY UTILIZATION RATE - ALL INDUSTRY SADJ,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,US CONSTRUCTION EXPENDITURES - TOTAL (AR) CURA,US NEW ORDERS - ALL MANUFACTURING INDUSTRIES CURA,"US NEW ORDERS - MANUFACTURING, EXCLUDING TRANSPORTATION CURA",US BUSINESS INVENTORIES (MFG & TRADE) CURA,US WHOLESALE TRADE INVENTORIES - TOTAL CURA,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,,US FEDERAL GOVERNMENT BUDGET BALANCE CURN,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN RESERVE ASSETS CURN,US EXPORTS F.A.S. CURA,US IMPORTS F.A.S. CURA,US VISIBLE TRADE BALANCE F.A.S.-F.A.S. CURA,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND DJ,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US MONEY SUPPLY M2 (BCI 106) CO,US CONSUMER CONFIDENCE INDEX SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US CHICAGO PURCHASING MAGER BUSINESS BAROMETER (SA) SADJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US TIPP ECONOMIC OPTIMISM INDEX: OVERALL DJ,US PERSOL INCOME (MONTHLY SERIES) (AR) CURA,US PERSOL SAVING AS % OF DISPOSABLE PERSOL INCOME SADJ,US DISPOSABLE PERSOL INCOME (AR) CURA,US PERSOL CONSUMPTION EXPENDITURES (AR) CURA,US CHAIN-TYPE PRICE INDEX FOR PCE LESS FOOD & ENERGY SADJ,US FOREIGN RESERVE ASSETS CURN,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US MONETARY BASE CURN,US MONEY SUPPLY M1 CURN,US FEDERAL FUNDS RATE (MONTHLY AVERAGE) DJ,US TREASURY BILL RATE - 3 MONTH (EP) DJ,US INTERBANK RATE - 3 MONTH (LONDON) (MONTH AVG) DJ,US PRIME RATE CHARGED BY BANKS (MONTH AVG) DJ,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 20 YEAR DJ,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN NET LONG TERM FLOWS IN SECURITIES CURN,US COMMERCIAL BANK ASSETS - LOANS & LEASES IN BANK CREDIT CURA,US COMMERCIAL BANK ASSETS - COMMERCIAL & INDUSTRIAL LOANS CURA,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,SPX 500 Percent Shift Next Month
1/15/81,91037,99955,8071,7.5,,7.19,7.61,,353.02932,74.4,,229004,87.2,85.4,11.83,636,,,,,511,,,80.6749,49.2,,2.1,,52.7119,301.254,,,,,,,,-12192,934100,28316,18902,22616.3,-3714.3,,96.0263,,,,62.4,3468.5,74.4,,49.2,,51.5,2.1,,,2484.6,10.5,2157.3,1874.695,45.277,28316,,96.0263,161080,416.4,19.08,14.78,18.263,20.16,12.29,934100,2125,918.8727,312.4522,87.2,85.4,,,,,0.013276727
2/15/81,91105,100191,8051,7.4,,7.23,7.62,,354.74499,69,,229148,88,85.9,11.41,675,,,,,510,,,80.0954,48.8,,5.2,,52.4633,299.309,,,,,,,,-15620,950500,29682,19788.2,21915.1,-2126.9,,99.119,,,,62,3459,69,,48.8,,52.5,5.2,,,2501.4,10.4,2170.8,1889.352,45.608,29682,,99.119,158982,405.5,15.93,14.37,17.335,19.43,12.98,950500,2756,922.551,313.117,88,85.9,,,,,0.036032605
3/15/81,91210,100571,7982,7.4,,7.29,7.68,,357.12713,77.8,,229314,88.6,86.4,10.49,849,,,,,514,,,80.3308,49.6,,7.8,,52.7501,297.38,,,,,,,,-9582,964500,30410,21277.8,21028.9,248.9,,99.465,,,,62.1,3473.1,77.8,,49.6,,51.6,7.8,,,2525.8,10.3,2190.9,1908.095,45.86,30410,,99.465,159765,412.2,14.7,12.45,14.838,18.05,12.94,964500,2658,925.5523,314.3933,88.6,86.4,,,,,-0.023455882
4/15/81,91283,101056,7869,7.2,,7.33,7.76,,359.13287,81.6,,229489,89.1,87,10,752,,,,,470,,,79.7845,51.6,,-1.2,,52.5233,296.641,,,,,,,,17190,964000,29693,19786.1,22248.6,-2462.5,,101.5272,,,,62.5,3505.9,81.6,,51.6,,52.9,-1.2,,,2531.5,10.3,2193.4,1909.142,46.15,29693,,101.5272,162371,431,15.72,14.36,15.966,17.15,13.46,964000,1116,932.7058,318.5024,89.1,87,,,,,-0.001656502
5/15/81,91293,101048,8174,7.5,,7.37,7.8,,361.2328,86.9,,229668,89.7,87.8,9.78,731,,,,,467,,,80.0334,53.5,,9,,52.8211,291.641,,,,,,,,-16171,968500,29395,18899,21231.5,-2332.5,,104.7946,,,,62.1,3500.9,86.9,,53.5,,51.2,9,,,2549.8,10.4,2206.6,1918.174,46.466,29395,,104.7946,163200,418.5,18.52,15.92,19.131,19.61,13.82,968500,2006,944.814,324.08,89.7,87.8,,,,,-0.010408025
6/15/81,91490,100298,8098,7.5,,7.42,7.85,,362.74346,83,,229864,90.5,88.6,9.55,747,,,,,415,,,80.2057,50.7,,-2.2,,53.0699,289.299,,,,,,,,15363,971200,29582,19749.8,22005,-2255.2,,107.039,,,,61.6,3499.8,83,,50.7,,49.6,-2.2,,,2573,10.2,2226.3,1938.457,46.696,29582,,107.039,163929,422.8,19.1,14.12,18.011,20.03,13.2,971200,2178,952.2848,328.1726,90.5,88.6,,,,,-0.002210197
7/15/81,91602,100693,7863,7.2,,7.46,7.89,,364.67773,83.5,,230077,91.5,89.8,10.76,690,,,,,431,,,80.5071,46.7,,5.5,,53.4044,290.158,,,,,,,,-10343,973300,28867,19289.4,20114.2,-824.8,,109.6456,,,,61.1,3503,83.5,,46.7,,48.8,5.5,,,2626.3,11.7,2274,1945.702,46.976,28867,,109.6456,166041,427.7,19.04,15.23,18.631,20.39,13.92,973300,1802,958.6031,331.8571,91.5,89.8,,,,,-0.062098992
8/15/81,91566,100689,8036,7.4,,7.53,7.9,,365.15446,85.7,,230300,92.2,90.7,10.8,721,,,,,378,,,80.2934,48.3,,16.8,,53.3959,287.31,,,,,,,,-5119,980200,29265,19030.8,23242.4,-4211.6,,111.3557,,,,60.8,3507.1,85.7,,48.3,,48.7,16.8,,,2651.6,11.4,2293.6,1969.789,47.289,29265,,111.3557,166116,425.9,17.82,15.58,18.911,20.5,14.52,980200,1996,966.1029,336.523,92.2,90.7,,,,,-0.053831745
9/15/81,91479,100064,8230,7.6,,7.57,8.03,,369.59574,77.6,,230527,93.1,91.8,10.95,763,,,,,338,,,79.6159,42.5,,7.5,,53.0761,286.009,,,,,,,,6335,997900,29715,19550.7,21274.2,-1723.5,,108.376,,,,60,3510.1,77.6,,42.5,,42.8,7.5,,,2665.4,11.9,2305,1968.248,47.597,29715,,108.376,164686,427,15.87,14.1,17.96,20.08,15.07,997900,1998,972.0761,338.1155,93.1,91.8,,,,,0.049147874
10/15/81,91380,100378,8646,7.9,,7.59,8.04,,370.45671,75.6,,230732,93.4,92.1,10.14,654,,,,,356,,,78.8563,40,,-13.2,,52.6972,283.919,,,,,,,,-18105,1005000,30248,19163.2,23076.9,-3913.7,,107.7176,,,,59.6,3526.8,75.6,,40,,43,-13.2,,,2669.5,12.5,2320.2,1966.195,47.879,30248,,107.7176,164972,429.7,15.08,13.05,16.509,18.45,15.13,1005000,1346,976.7841,341.1989,93.4,92.1,,,,,0.036590368
