Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,,
12/31/2017,61639,10025,NY,New York,New York,New York,0,1237700,-0.016761996,-0.039276566,0.087609842,,
12/31/2017,84654,60657,IL,Chicago,Cook,Chicago,1,321600,-0.003099814,-0.009242144,0.009733124,,
12/31/2017,84616,60614,IL,Chicago,Cook,Chicago,2,393600,-0.006060606,-0.032448378,-0.053618658,,
12/31/2017,93144,79936,TX,El Paso,El Paso,El Paso,3,114600,0,-0.00174216,0,,
12/31/2017,84640,60640,IL,Chicago,Cook,Chicago,4,209800,0.003347681,-0.001427891,0.047952048,,
12/31/2017,61807,10467,NY,New York,Bronx,New York,5,385400,0.007055135,0.025545503,0.077439195,,
12/31/2017,91733,77084,TX,Houston,Harris,Houston,6,162400,-0.001230012,-0.000615385,0.021383648,,
12/31/2017,97564,94109,CA,San Francisco,San Francisco,San Francisco,7,1193700,0.007681918,0.030829016,0.060030193,,
12/31/2017,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,8,321400,-0.001243008,0.007839448,0.056194545,,
12/31/2017,62037,11226,NY,New York,Kings,New York,9,690900,0.017226148,0.052559415,0.133924175,,
12/31/2017,91940,77449,TX,Houston,Harris,Cypress,10,169700,0.011926058,0.029108551,0.053382992,,
12/31/2017,61630,10016,NY,New York,New York,New York,11,1062200,-0.00960373,-0.033484986,0.135071596,,
12/31/2017,71831,32162,FL,The Villages,Sumter,The Villages,12,245300,0.000815993,-0.007686084,-0.004868154,,
12/31/2017,62045,11235,NY,New York,Kings,New York,13,607600,0.025139194,0.079793851,0.253558902,,
12/31/2017,84646,60647,IL,Chicago,Cook,Chicago,14,333500,0.00542659,0.005729795,0.02710194,,
12/31/2017,74242,37211,TN,Nashville,Davidson,Nashville,15,238800,0.010579771,0.024892704,0.120600657,,
12/31/2017,96107,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,16,603000,0.008698561,0.026208305,0.086878154,,
12/31/2017,74101,37013,TN,Nashville,Davidson,Nashville,17,201300,0.013085053,0.030721966,0.147008547,,
12/31/2017,84620,60618,IL,Chicago,Cook,Chicago,18,336000,0.006590773,0.010222489,0.018181818,,
12/31/2017,61703,10128,NY,New York,New York,New York,19,1346000,-0.017948344,-0.031863627,0.230909922,,
12/31/2017,69816,28269,NC,Charlotte,Mecklenburg,Charlotte,20,189000,0.010154997,0.031659389,0.100116414,,
12/31/2017,71067,30349,GA,Atlanta,Clayton,Riverdale,21,124600,0.003220612,0.009724473,0.116487455,,
12/31/2017,93123,79912,TX,El Paso,El Paso,El Paso,22,174200,0.001149425,0.013379872,0.028335301,,
12/31/2017,96027,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,23,1369200,0.003003443,0.037508525,0.081260365,,
12/31/2017,97771,94565,CA,San Francisco,Contra Costa,Pittsburg,24,408200,0.007403751,0.027693857,0.099676724,,
12/31/2017,61796,10456,NY,New York,Bronx,New York,25,348900,0.002874389,0.018091625,0.078516229,,
12/31/2017,84615,60613,IL,Chicago,Cook,Chicago,26,211300,0.008110687,0.003323837,0.059679037,,
12/31/2017,66133,20009,DC,Washington,District of Columbia,Washington,27,544400,-0.000734214,-0.0056621,-0.007112894,,
12/31/2017,66126,20002,DC,Washington,District of Columbia,Washington,28,613000,0.004424054,0.01473266,0.035647913,,
12/31/2017,66843,21234,MD,Baltimore,Baltimore,Parkville,29,201200,0,-0.003960396,0.000995025,,
12/31/2017,86026,63376,MO,St. Louis,Saint Charles,Saint Peters,30,181700,0,0.006090808,-0.022066738,,
12/31/2017,91685,77036,TX,Houston,Harris,Houston,31,114500,0.01687389,0.032461677,0.073102156,,
12/31/2017,70829,30044,GA,Atlanta,Gwinnett,Lawrenceville,32,178300,0.011918275,0.034222738,0.085870889,,
12/31/2017,61803,10463,NY,New York,Bronx,New York,33,549100,0.035842294,0.10974131,0.18544905,,
12/31/2017,84630,60629,IL,Chicago,Cook,Chicago,34,161000,0.004366812,0.016414141,0.021573604,,
12/31/2017,84627,60625,IL,Chicago,Cook,Chicago,35,268700,-0.001115242,0.007876969,0.041069353,,
12/31/2017,62017,11206,NY,New York,Kings,New York,36,690700,0.00641119,0.045248184,0.237370118,,
12/31/2017,62040,11230,NY,New York,Kings,New York,37,844200,-0.001655629,0,0.039271205,,
12/31/2017,62020,11209,NY,New York,Kings,New York,38,854600,0.003404955,0.037765634,0.267012602,,
12/31/2017,62012,11201,NY,New York,Kings,New York,39,1242900,0.009748964,0.061944634,0.316073698,,
12/31/2017,92551,78613,TX,Austin,Williamson,Cedar Park,40,283500,0.01141634,0.032786885,0.07835679,,
12/31/2017,62023,11212,NY,New York,Kings,New York,41,410700,0.00464775,0.022150324,0.109400324,,
12/31/2017,74126,37042,TN,Clarksville,Montgomery,Clarksville,42,129600,0.00621118,0.011709602,0.042638777,,
12/31/2017,90823,75287,TX,Dallas-Fort Worth,Dallas,Dallas,43,323400,-0.000926784,0.009678426,0.038202247,,
12/31/2017,94748,85032,AZ,Phoenix,Maricopa,Phoenix,44,244300,-0.004887984,0,0.048048048,,
12/31/2017,92271,78130,TX,San Antonio,Comal,New Braunfels,45,200200,0,-0.000499251,0.033557047,,
12/31/2017,62025,11214,NY,New York,Kings,New York,46,670500,0.004043127,0.01806863,0.089712335,,
12/31/2017,92481,78521,TX,Brownsville,Cameron,Brownsville,47,76600,0.026809651,0.049315068,0.134814815,,
12/31/2017,70828,30043,GA,Atlanta,Gwinnett,Lawrenceville,48,223600,0.005847953,0.017751479,0.092864125,,
12/31/2017,70874,30096,GA,Atlanta,Gwinnett,Duluth,49,209600,0.007692308,0.01895965,0.079299691,,
12/31/2017,67732,23464,VA,Virginia Beach,Virginia Beach City,Virginia Beach,50,251800,-0.001586043,-0.003955696,0.003187251,,
12/31/2017,97711,94501,CA,San Francisco,Alameda,Alameda,51,974300,0.012575348,0.039364199,0.085450089,,
12/31/2017,60545,7030,NJ,New York,Hudson,Hoboken,52,784900,0.00063743,0.015263226,0.079939461,,
12/31/2017,84621,60619,IL,Chicago,Cook,Chicago,53,141000,0,-0.007741027,-0.020152884,,
12/31/2017,89925,73099,OK,Oklahoma City,Canadian,Yukon,54,158400,0.001897533,0.005714286,0.001264223,,
12/31/2017,62039,11229,NY,New York,Kings,New York,55,682800,0.005892752,0.002201673,0.08295004,,
12/31/2017,97565,94110,CA,San Francisco,San Francisco,San Francisco,56,1464100,0.017513378,0.054751099,0.124241726,,
12/31/2017,69823,28277,NC,Charlotte,Mecklenburg,Charlotte,57,341000,0.00679067,0.018518519,0.056709018,,
12/31/2017,90795,75243,TX,Dallas-Fort Worth,Dallas,Dallas,58,198800,0.003027245,0.035416667,0.100166021,,
12/31/2017,96015,90034,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,59,1136300,0.013648528,0.055256315,0.13143483,,
12/31/2017,72463,33160,FL,Miami-Fort Lauderdale,Miami-Dade,Sunny Isles Beach,60,332500,-0.005681818,-0.011887073,-0.058073654,,
12/31/2017,72442,33139,FL,Miami-Fort Lauderdale,Miami-Dade,Miami Beach,61,366200,0.000273149,0.005767646,-0.024507192,,
12/31/2017,77007,44107,OH,Cleveland,Cuyahoga,Lakewood,62,157200,-0.004433186,-0.004433186,0.069387755,,
12/31/2017,91889,77379,TX,Houston,Harris,Tomball,63,233800,0.005591398,0.010371651,0.065633546,,
12/31/2017,96025,90044,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,64,421200,0.005010737,0.020596075,0.116945107,,
12/31/2017,72578,33411,FL,Miami-Fort Lauderdale,Palm Beach,Royal Palm Beach,65,280600,0.001070282,0.012630819,0.069767442,,
12/31/2017,96193,90650,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Norwalk,66,460600,0.005018547,0.019703343,0.067686602,,
12/31/2017,96239,90805,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,67,442900,0.010034208,0.030479293,0.095744681,,
12/31/2017,62018,11207,NY,New York,Kings,New York,68,382100,-0.000784519,0.010579212,0.059622851,,
12/31/2017,90665,75067,TX,Dallas-Fort Worth,Denton,Lewisville,69,237900,0.010191083,0.042049934,0.117951128,,
12/31/2017,84619,60617,IL,Chicago,Cook,Chicago,70,118800,0.003378378,0.015384615,0.018867925,,
12/31/2017,61633,10019,NY,New York,New York,New York,71,1280200,-0.012724609,-0.037660678,-0.019229296,,
12/31/2017,76953,44035,OH,Cleveland,Lorain,Elyria,72,93200,-0.004273504,-0.004273504,0.026431718,,
12/31/2017,67730,23462,VA,Virginia Beach,Virginia Beach City,Virginia Beach,73,197900,-0.000505051,-0.002520161,0.016435542,,
12/31/2017,65810,19143,PA,Philadelphia,Philadelphia,Philadelphia,74,72600,0.008333333,0.023977433,0.091729323,,
12/31/2017,79054,48197,MI,Ann Arbor,Washtenaw,Ypsilanti,75,202000,0.007984032,0.015075377,0.094257855,,
12/31/2017,92617,78704,TX,Austin,Travis,Austin,76,524000,0.004408664,0.008662175,0.074210742,,
12/31/2017,96990,92683,CA,Los Angeles-Long Beach-Anaheim,Orange,Westminster,77,627600,0.003838772,0.010628019,0.059419311,,
12/31/2017,61148,8701,NJ,New York,Ocean,Lakewood Township,78,300600,0.008386448,0.013486177,-0.012807882,,
12/31/2017,95048,85710,AZ,Tucson,Pima,Tucson,79,170300,0.003535651,0.02037148,0.075126263,,
12/31/2017,87074,66062,KS,Kansas City,Johnson,Olathe,80,240800,0.01560523,0.034808767,0.066430469,,
12/31/2017,92654,78745,TX,Austin,Travis,Austin,81,282100,0.008220157,0.017676768,0.068560606,,
12/31/2017,98325,95630,CA,Sacramento,Sacramento,Folsom,82,511700,-0.001755755,0.007085219,0.04813601,,
12/31/2017,96545,91910,CA,San Diego,San Diego,Chula Vista,83,503800,0.00518755,0.014090177,0.075117371,,
12/31/2017,96007,90026,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,84,910300,0.011894175,0.037378917,0.111884695,,
12/31/2017,61790,10314,NY,New York,Richmond,New York,85,515200,0.008811435,0.022628027,0.154380462,,
12/31/2017,95306,87111,NM,Albuquerque,Bernalillo,Albuquerque,86,249500,0.006454215,0.016293279,0.010121457,,
12/31/2017,97764,94558,CA,Napa,Napa,Napa,87,614700,0,0.002119335,0.029648241,,
12/31/2017,62026,11215,NY,New York,Kings,New York,88,1248200,0.002892496,0.018606169,0.209144628,,
12/31/2017,99534,98052,WA,Seattle,King,Redmond,89,826300,0.00559815,0.031456747,0.182624875,,
12/31/2017,70810,30024,GA,Atlanta,Gwinnett,Suwanee,90,331800,0.004237288,0.009124088,0.038822793,,
12/31/2017,71864,32210,FL,Jacksonville,Duval,Jacksonville,91,128600,0.013396375,0.043831169,0.15647482,,
