Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak
12/31/2017,61639,10025,NY,New York,New York,New York,0,1237700,-0.016761996,-0.039276566,0.087609842,0.098976404,0.048715318,2017-08,2017-Q3,1296500,-0.045352872999999995
12/31/2017,84654,60657,IL,Chicago,Cook,Chicago,1,321600,-0.003099814,-0.009242144,0.009733124000000001,0.036365034,-0.00027942099999999997,2017-06,2017-Q2,325100,-0.010765918000000001
12/31/2017,84616,60614,IL,Chicago,Cook,Chicago,2,393600,-0.006060606,-0.032448378,-0.053618658,0.044632955999999994,-0.0007086130000000001,2016-12,2016-Q4,415900,-0.053618658
12/31/2017,93144,79936,TX,El Paso,El Paso,El Paso,3,114600,0.0,-0.00174216,0.0,0.0008748919999999999,-0.013361195,2007-12,2007-Q4,131100,-0.12585812400000002
12/31/2017,84640,60640,IL,Chicago,Cook,Chicago,4,209800,0.003347681,-0.0014278910000000001,0.047952048,0.050362917,-0.010645668,2007-02,2007-Q1,238400,-0.119966443
12/31/2017,61807,10467,NY,New York,Bronx,New York,5,385400,0.007055135,0.025545502999999997,0.077439195,0.060584938,0.007599329,2006-10,2006-Q4,392900,-0.019088827
12/31/2017,91733,77084,TX,Houston,Harris,Houston,6,162400,-0.001230012,-0.000615385,0.021383647999999998,0.082215477,0.023292123999999997,2017-10,2017-Q4,162900,-0.003069368
12/31/2017,97564,94109,CA,San Francisco,San Francisco,San Francisco,7,1193700,0.007681918,0.030829016,0.060030192999999996,0.08813347099999999,0.040831724,2017-12,2017-Q4,1193700,0.0
12/31/2017,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,8,321400,-0.001243008,0.007839448,0.056194545,0.097660396,0.043924725,2017-11,2017-Q4,321800,-0.001243008
12/31/2017,62037,11226,NY,New York,Kings,New York,9,690900,0.017226148,0.052559415,0.133924175,0.130055961,0.045586597,2017-12,2017-Q4,690900,0.0
12/31/2017,91940,77449,TX,Houston,Harris,Cypress,10,169700,0.011926058,0.029108551,0.053382992000000004,0.093176934,0.024899052999999997,2017-12,2017-Q4,169700,0.0
12/31/2017,61630,10016,NY,New York,New York,New York,11,1062200,-0.00960373,-0.033484986,0.135071596,0.090492371,0.038859673,2017-08,2017-Q3,1112700,-0.045385099000000005
12/31/2017,71831,32162,FL,The Villages,Sumter,The Villages,12,245300,0.000815993,-0.007686084,-0.004868154,0.037560611,0.0028572759999999997,2007-01,2007-Q1,253900,-0.033871603
12/31/2017,62045,11235,NY,New York,Kings,New York,13,607600,0.025139194,0.079793851,0.253558902,0.09446986199999999,0.04093517,2017-12,2017-Q4,607600,0.0
12/31/2017,84646,60647,IL,Chicago,Cook,Chicago,14,333500,0.00542659,0.005729795,0.02710194,0.085482647,0.009670474,2017-12,2017-Q4,333500,0.0
12/31/2017,74242,37211,TN,Nashville,Davidson,Nashville,15,238800,0.010579771000000002,0.024892703999999998,0.12060065699999999,0.120997063,0.047318195,2017-12,2017-Q4,238800,0.0
12/31/2017,96107,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,16,603000,0.008698561,0.026208305,0.086878154,0.101780502,,2017-12,2017-Q4,603000,0.0
12/31/2017,74101,37013,TN,Nashville,Davidson,Nashville,17,201300,0.013085053000000001,0.030721966,0.147008547,0.097017188,0.031725353,2017-12,2017-Q4,201300,0.0
12/31/2017,84620,60618,IL,Chicago,Cook,Chicago,18,336000,0.006590773,0.010222489,0.018181818,0.068101501,-0.00381742,2007-02,2007-Q1,351500,-0.044096727999999995
12/31/2017,61703,10128,NY,New York,New York,New York,19,1346000,-0.017948343999999998,-0.031863627,0.230909922,0.108198281,0.039487786000000004,2017-10,2017-Q4,1394300,-0.034641039
12/31/2017,69816,28269,NC,Charlotte,Mecklenburg,Charlotte,20,189000,0.010154996999999999,0.031659388999999996,0.100116414,0.069451985,0.016353045,2017-12,2017-Q4,189000,0.0
12/31/2017,71067,30349,GA,Atlanta,Clayton,Riverdale,21,124600,0.0032206120000000003,0.009724473,0.116487455,0.163646424,-0.007542593,2006-04,2006-Q2,142400,-0.125
12/31/2017,93123,79912,TX,El Paso,El Paso,El Paso,22,174200,0.001149425,0.013379872,0.028335301,0.003597633,-0.008487755,2007-12,2007-Q4,189700,-0.08170796
12/31/2017,96027,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,23,1369200,0.0030034429999999997,0.037508525,0.081260365,0.113406285,0.030742303,2017-12,2017-Q4,1369200,0.0
12/31/2017,97771,94565,CA,San Francisco,Contra Costa,Pittsburg,24,408200,0.007403751,0.027693857000000002,0.09967672400000001,0.175978209,0.003495982,2006-07,2006-Q3,470000,-0.131489362
